-5503, -32302, 1835119
-17189, -27896, 1839188
-26378, -19438, 1843257
-31736, -8157, 1847326
-32482, 4310, 1851395
-28510, 16151, 1855464
-20396, 25645, 1859533
-9319, 31414, 1863602
3112, 32619, 1867671
15090, 29085, 1871740
24877, 21326, 1875809
31050, 10469, 1879878
32711, -1909, 1883947
29621, -14010, 1888016
22227, -24075, 1892085
11605, -30643, 1896154
-704, -32759, 1900223
-12910, -30117, 1904292
-23241, -23099, 1908361
-30195, -12725, 1912430
-32763, -503, 1916499
-30571, 11793, 1920568
-23938, 22375, 1924637
-13828, 29706, 1928706
-1708, 32722, 1932775
10659, 30985, 1936844
21479, 24746, 1940913
29177, 14912, 1944982
32637, 2911, 1949051
31356, -9512, 1953120
25519, -20553, 1957189
15976, -28609, 1961258
4111, -32508, 1965327
-8351, -31685, 1969396
-19600, -26259, 1973465
-28001, -17018, 1977534
-32335, -5305, 1981603
-31971, 7179, 1985672
-26962, 18620, 1989741
-18037, 27356, 1993810
-6491, 32118, 1997879
5998, 32213, 2001948
17615, 27629, 2006017
26674, 19032, 2010086
31857, 7669, 2014155
32412, -4808, 2018224
28259, -16586, 2022293
20000, -25955, 2026362
8836, -31553, 2030431
-3612, -32567, 2034500
-15535, -28850, 2038569
-25201, -20942, 2042638
-31206, -9992, 2046707
-32678, 2410, 2050776
-29403, 14462, 2054845
-21856, 24413, 2058914
-11133, 30818, 2062983
1206, 32745, 2067052
13370, 29915, 2071121
23592, 22739, 2075190
30387, 12260, 2079259
32767, 0, 2083328
30387, -12260, 2087397
23592, -22739, 2091466
13370, -29915, 2095535
1206, -32745, 2099604
-11133, -30818, 2103673
-21856, -24413, 2107742
-29403, -14462, 2111811
-32678, -2410, 2115880
-31206, 9992, 2119949
-25201, 20942, 2124018
-15535, 28850, 2128087
-3612, 32567, 2132156
8836, 31553, 2136225
20000, 25955, 2140294
28259, 16586, 2144363
32412, 4808, 2148432
31857, -7669, 2152501
26674, -19032, 2156570
17615, -27629, 2160639
5998, -32213, 2164708
-6491, -32118, 2168777
-18037, -27356, 2172846
-26962, -18620, 2176915
-31971, -7179, 2180984
-32335, 5305, 2185053
-28001, 17018, 2189122
-19600, 26259, 2193191
-8351, 31685, 2197260
4111, 32508, 2201329
15976, 28609, 2205398
25519, 20553, 2209467
31356, 9512, 2213536
32637, -2911, 2217605
29177, -14912, 2221674
21479, -24746, 2225743
10659, -30985, 2229812
-1708, -32722, 2233881
-13828, -29706, 2237950
-23938, -22375, 2242019
-30571, -11793, 2246088
-32763, 503, 2250157
-30195, 12725, 2254226
-23241, 23099, 2258295
-12910, 30117, 2262364
-704, 32759, 2266433
11605, 30643, 2270502
22227, 24075, 2274571
29621, 14010, 2278640
32711, 1909, 2282709
31050, -10469, 2286778
24877, -21326, 2290847
15090, -29085, 2294916
3112, -32619, 2298985
-9319, -31414, 2303054
